epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.688,0.68116,1.26825,0.89628,0.93922,0.90586,0.94192,0.72968,0.71894,0.89989,0.94086,0.000554249,0.000554249,0.000554249
2,545.195,0.69421,0.71858,0.90174,0.97362,0.92922,0.97391,0.8024,0.65456,0.64441,0.9234,0.00100003,0.00100003,0.00100003
3,817.519,0.67284,0.58443,0.89676,0.95528,0.93181,0.97383,0.7827,0.67624,0.57236,0.93333,0.0013358,0.0013358,0.0013358
4,983.263,0.64924,0.5,0.88763,0.97372,0.94797,0.98037,0.82188,0.61903,0.49071,0.90781,0.0011719,0.0011719,0.0011719
5,1154.64,0.59829,0.44147,0.86773,0.9758,0.96523,0.98446,0.82791,0.59903,0.42399,0.8907,0.00100687,0.00100687,0.00100687
6,1325.27,0.57456,0.40799,0.86352,0.9806,0.96933,0.98791,0.83809,0.58615,0.37733,0.89066,0.000841835,0.000841835,0.000841835
7,1491.63,0.54838,0.37039,0.85522,0.98482,0.96927,0.98855,0.8382,0.55667,0.35915,0.8798,0.000676802,0.000676802,0.000676802
8,1657.01,0.52945,0.35083,0.84498,0.9827,0.97662,0.98922,0.84033,0.55717,0.3312,0.87694,0.000511769,0.000511769,0.000511769
9,1824.8,0.50498,0.32369,0.84144,0.9878,0.97044,0.99069,0.843,0.54724,0.32125,0.87109,0.000346736,0.000346736,0.000346736
10,1990.99,0.4857,0.30285,0.83659,0.98822,0.97856,0.99183,0.86625,0.50498,0.293,0.85558,0.000181703,0.000181703,0.000181703
